date,mentions,
8-Nov-15,16,306
9-Nov-15,35,307
10-Nov-15,55,308
11-Nov-15,54,309
12-Nov-15,39,310
13-Nov-15,49,311
14-Nov-15,15,312
15-Nov-15,17,313
16-Nov-15,35,314
17-Nov-15,34,315
18-Nov-15,35,316
19-Nov-15,64,317
20-Nov-15,76,318
21-Nov-15,19,319
22-Nov-15,21,320
23-Nov-15,25,321
24-Nov-15,13,322
25-Nov-15,41,323
26-Nov-15,42,324
27-Nov-15,34,325
28-Nov-15,14,326
29-Nov-15,13,327
30-Nov-15,44,328
1-Dec-15,64,329
2-Dec-15,38,330
3-Dec-15,124,331
4-Dec-15,28,332
5-Dec-15,6,333
6-Dec-15,15,334
7-Dec-15,42,335
8-Dec-15,75,336
9-Dec-15,840,337
10-Dec-15,196,338
11-Dec-15,68,339
12-Dec-15,33,340
13-Dec-15,17,341
14-Dec-15,45,342
15-Dec-15,53,343
16-Dec-15,47,344
17-Dec-15,51,345
18-Dec-15,31,346
19-Dec-15,70,347
20-Dec-15,31,348
21-Dec-15,42,349
22-Dec-15,34,350
23-Dec-15,45,351
24-Dec-15,23,352
25-Dec-15,16,353
26-Dec-15,10,354
27-Dec-15,11,355
28-Dec-15,21,356
29-Dec-15,18,357
30-Dec-15,24,358
31-Dec-15,18,359
1-Jan-16,8,360
2-Jan-16,7,361
3-Jan-16,12,362
4-Jan-16,24,363
5-Jan-16,15,364
6-Jan-16,30,365
7-Jan-16,31,366
8-Jan-16,23,367
9-Jan-16,8,368
10-Jan-16,11,369
11-Jan-16,37,370
12-Jan-16,23,371
13-Jan-16,35,372
14-Jan-16,42,373
15-Jan-16,49,374
16-Jan-16,31,375
17-Jan-16,31,376
18-Jan-16,47,377
19-Jan-16,79,378
20-Jan-16,137,379
21-Jan-16,54,380
22-Jan-16,42,381
23-Jan-16,14,382
24-Jan-16,22,383
25-Jan-16,45,384
26-Jan-16,51,385
27-Jan-16,28,386
28-Jan-16,36,387
29-Jan-16,28,388
30-Jan-16,13,389
31-Jan-16,10,390
1-Feb-16,27,391
2-Feb-16,50,392
3-Feb-16,52,393
4-Feb-16,24,394
5-Feb-16,26,395
6-Feb-16,5,396
7-Feb-16,16,397
8-Feb-16,24,398
9-Feb-16,25,399
10-Feb-16,57,400
11-Feb-16,35,401
12-Feb-16,16,402
13-Feb-16,7,403
14-Feb-16,20,404
15-Feb-16,36,405
16-Feb-16,61,406
17-Feb-16,91,407
18-Feb-16,180,408
19-Feb-16,69,409
20-Feb-16,22,410
21-Feb-16,18,411
22-Feb-16,32,412
23-Feb-16,50,413
24-Feb-16,27,414
25-Feb-16,51,415
26-Feb-16,33,416
27-Feb-16,13,417
28-Feb-16,12,418
29-Feb-16,41,419
1-Mar-16,33,420
2-Mar-16,32,421
3-Mar-16,50,422
4-Mar-16,36,423
5-Mar-16,11,424
6-Mar-16,11,425
7-Mar-16,21,426
8-Mar-16,38,427
9-Mar-16,43,428
10-Mar-16,36,429
11-Mar-16,39,430
12-Mar-16,16,431
13-Mar-16,25,432
14-Mar-16,111,433
15-Mar-16,73,434
16-Mar-16,51,435
17-Mar-16,39,436
18-Mar-16,49,437
19-Mar-16,11,438
20-Mar-16,6,439
21-Mar-16,58,440
22-Mar-16,40,441
23-Mar-16,30,442
24-Mar-16,27,443
25-Mar-16,19,444
26-Mar-16,19,445
27-Mar-16,14,446
28-Mar-16,35,447
29-Mar-16,34,448
30-Mar-16,34,449
31-Mar-16,23,450
1-Apr-16,36,451
2-Apr-16,13,452
3-Apr-16,16,453
4-Apr-16,37,454
5-Apr-16,63,455
6-Apr-16,52,456
7-Apr-16,34,457
8-Apr-16,33,458
9-Apr-16,8,459
10-Apr-16,9,460
11-Apr-16,43,461
12-Apr-16,57,462
