Column 1 1,Column 2
7/10/2016,4
7/11/2016,15
7/12/2016,21
7/13/2016,15
7/14/2016,18
7/15/2016,9
7/16/2016,9
7/17/2016,21
7/18/2016,17
7/19/2016,12
7/20/2016,10
7/21/2016,10
7/22/2016,18
7/23/2016,5
7/24/2016,1
7/25/2016,57
7/26/2016,668
7/27/2016,531
7/28/2016,22
7/29/2016,14
7/30/2016,2
7/31/2016,19
8/1/2016,9
8/2/2016,12
8/3/2016,226
8/4/2016,72
8/5/2016,37
8/6/2016,12
8/7/2016,8
8/8/2016,83
8/9/2016,45
8/10/2016,15
8/11/2016,25
8/12/2016,33
8/13/2016,18
8/14/2016,24
8/15/2016,31
8/16/2016,20
8/17/2016,26
8/18/2016,54
8/19/2016,29
8/20/2016,18
8/21/2016,12
8/22/2016,22
8/23/2016,17
8/24/2016,27
8/25/2016,21
8/26/2016,17
8/27/2016,13
8/28/2016,24
8/29/2016,40
8/30/2016,20
8/31/2016,16
9/1/2016,9
9/2/2016,18
9/3/2016,11
9/4/2016,4
9/5/2016,15
9/6/2016,21
9/7/2016,8
9/8/2016,15
9/9/2016,10
9/10/2016,11
9/11/2016,16
9/12/2016,13
9/13/2016,31
9/14/2016,25
9/15/2016,20
9/16/2016,10
9/17/2016,41
9/18/2016,12
9/19/2016,30
9/20/2016,59
9/21/2016,78
9/22/2016,29
9/23/2016,15
9/24/2016,15
9/25/2016,7
9/26/2016,11
9/27/2016,26
9/28/2016,16
9/29/2016,32
9/30/2016,27
10/1/2016,11
10/2/2016,17
10/3/2016,16
10/4/2016,23
10/5/2016,17
10/6/2016,24
10/7/2016,27
10/8/2016,8
10/9/2016,10
10/10/2016,22
10/11/2016,21
10/12/2016,20
10/13/2016,13
10/14/2016,6
10/15/2016,14
10/16/2016,7
10/17/2016,10
10/18/2016,19
10/19/2016,10
10/20/2016,13
10/21/2016,8
10/22/2016,8
10/23/2016,12
10/24/2016,20
10/25/2016,40
10/26/2016,15
10/27/2016,24
10/28/2016,46
10/29/2016,19
10/30/2016,13
10/31/2016,74
11/1/2016,27
11/2/2016,16
11/3/2016,17
11/4/2016,14
11/5/2016,9
11/6/2016,10
11/7/2016,18
11/8/2016,21
11/9/2016,35
11/10/2016,23
11/11/2016,24
11/12/2016,11
11/13/2016,12
11/14/2016,14
11/15/2016,23
11/16/2016,13
11/17/2016,13
11/18/2016,28
11/19/2016,10
11/20/2016,9
11/21/2016,21
11/22/2016,23
11/23/2016,35
11/24/2016,15
11/25/2016,22
11/26/2016,12
11/27/2016,13
11/28/2016,23
11/29/2016,17
11/30/2016,22
12/1/2016,51
12/2/2016,31
12/3/2016,15
12/4/2016,8
12/5/2016,26
12/6/2016,53
12/7/2016,27
12/8/2016,27
12/9/2016,21
12/10/2016,10
12/11/2016,13
12/12/2016,15
12/13/2016,27
12/14/2016,14
12/15/2016,15
12/16/2016,18
12/17/2016,9
12/18/2016,15
12/19/2016,26
12/20/2016,25
12/21/2016,31
12/22/2016,26
12/23/2016,31
12/24/2016,10
12/25/2016,16
12/26/2016,18
12/27/2016,25
12/28/2016,33
12/29/2016,11
12/30/2016,13
12/31/2016,14
1/1/2017,17
1/2/2017,50
1/3/2017,54
1/4/2017,43
1/5/2017,68
1/6/2017,82
1/7/2017,22
1/8/2017,14
1/9/2017,81
1/10/2017,35
1/11/2017,78
1/12/2017,129
1/13/2017,43
1/14/2017,20
1/15/2017,32
1/16/2017,29
1/17/2017,50
1/18/2017,64
1/19/2017,38
1/20/2017,34
1/21/2017,18
1/22/2017,10
1/23/2017,21
1/24/2017,25
1/25/2017,27
1/26/2017,38
1/27/2017,53
1/28/2017,20
1/29/2017,18
1/30/2017,30
1/31/2017,35
2/1/2017,31
2/2/2017,49
2/3/2017,33
2/4/2017,9
2/5/2017,10
2/6/2017,34
2/7/2017,26
2/8/2017,43
2/9/2017,50
2/10/2017,44
2/11/2017,24
2/12/2017,11
2/13/2017,54
2/14/2017,44
2/15/2017,30
2/16/2017,25
2/17/2017,12
2/18/2017,25
2/19/2017,19
2/20/2017,24
2/21/2017,33
2/22/2017,27
2/23/2017,49
2/24/2017,74
2/25/2017,23
2/26/2017,25
2/27/2017,35
2/28/2017,41
3/1/2017,32
3/2/2017,40
3/3/2017,84
3/4/2017,25
3/5/2017,20
3/6/2017,40
3/7/2017,31
3/8/2017,43
3/9/2017,55
3/10/2017,140
3/11/2017,152
3/12/2017,31
3/13/2017,53
3/14/2017,23
3/15/2017,25
3/16/2017,19
3/17/2017,47
3/18/2017,18
3/19/2017,20
3/20/2017,33
3/21/2017,23
3/22/2017,32
3/23/2017,26
3/24/2017,39
3/25/2017,12
3/26/2017,18
3/27/2017,14
3/28/2017,23
3/29/2017,26
3/30/2017,18
3/31/2017,21
4/1/2017,10
4/2/2017,11
4/3/2017,18
